,prefer,rationality,agree,color
0,0,1,0.2857142857142857,Blue
1,0,1,0.14285714285714285,Blue
2,0,1,0.14285714285714285,Blue
3,0,1,0.14285714285714285,Blue
4,0,1,0.2857142857142857,Blue
5,0,1,0.2857142857142857,Blue
6,0,1,0.2857142857142857,Blue
7,0,1,0.42857142857142855,Blue
8,0,1,0.0,Blue
9,0,1,0.42857142857142855,Blue
10,0,1,0.14285714285714285,Blue
11,0,1,0.2857142857142857,Blue
12,0,1,0.42857142857142855,Blue
13,0,1,0.2857142857142857,Blue
14,0,1,0.2857142857142857,Blue
15,0,1,0.42857142857142855,Blue
16,0,1,0.0,Blue
17,0,1,0.14285714285714285,Blue
18,0,1,0.42857142857142855,Blue
19,0,1,0.14285714285714285,Blue
20,0,1,0.2857142857142857,Blue
21,0,1,0.0,Blue
22,0,1,0.2857142857142857,Blue
23,0,1,0.2857142857142857,Blue
24,0,1,0.2857142857142857,Blue
25,0,1,0.14285714285714285,Blue
26,0,1,0.42857142857142855,Blue
27,0,1,0.42857142857142855,Blue
28,0,1,0.0,Blue
29,0,1,0.5714285714285714,Blue
30,0,1,0.5714285714285714,Blue
31,0,1,0.42857142857142855,Blue
32,0,1,0.42857142857142855,Blue
33,0,1,0.42857142857142855,Blue
34,0,1,0.2857142857142857,Blue
35,0,1,0.5714285714285714,Blue
36,0,1,0.2857142857142857,Blue
37,0,1,0.5714285714285714,Blue
38,0,1,0.14285714285714285,Blue
39,0,1,0.2857142857142857,Blue
40,0,1,0.5714285714285714,Red
41,0,1,0.14285714285714285,Red
42,0,1,0.2857142857142857,Red
43,0,1,0.14285714285714285,Red
44,0,1,0.14285714285714285,Red
45,0,1,0.14285714285714285,Red
46,0,1,0.14285714285714285,Red
47,0,1,0.2857142857142857,Red
48,0,1,0.14285714285714285,Red
49,0,1,0.14285714285714285,Red
50,0,1,0.2857142857142857,Red
51,0,1,0.2857142857142857,Red
52,0,1,0.14285714285714285,Red
53,0,1,0.42857142857142855,Red
54,0,1,0.2857142857142857,Red
55,0,1,0.7142857142857143,Red
56,0,1,0.0,Red
57,0,1,0.0,Red
58,0,1,0.42857142857142855,Red
