,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientEmail,recipientEmail,,Recipient Email,"{""ImportId"":""recipientEmail""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExternalReference,externalDataReference,,External Data Reference,"{""ImportId"":""externalDataReference""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LocationLatitude,locationLatitude,,Location Latitude,"{""ImportId"":""locationLatitude""}",35.618896484375,41.599792480469,28.147903442383,39.985305786133,37.330596923828,42.272994995117,6.4530944824219,45.498001098633,33.182006835938,39.629104614258,34.774398803711,42.426803588867,42.272994995117,42.108505249023,36.016204833984,1.2931060791016,-1.2832946777344,44.048599243164,39.350692749023,40.751693725586,25.937194824219,35.54460144043,41.398895263672,37.453506469727,40.730804443359,52.316696166992,30.615798950195,40.730804443359,35.998504638672,37.751007080078,37.048004150391,43.101699829102
LocationLongitude,locationLongitude,,Location Longitude,"{""ImportId"":""locationLongitude""}",-120.76689910889,-70.563102722168,-82.039901733398,-75.436698913574,-121.83670043945,-83.599403381348,3.3957977294922,-122.77839660645,-117.2467956543,-77.712799072266,-106.7274017334,-83.193496704102,-83.599403381348,-80.050003051758,-80.043403625488,103.85580444336,36.816696166992,-123.21969604492,-76.562698364258,-73.997200012207,-80.317001342773,-78.830902099609,-83.653900146484,-77.477996826172,-73.997497558594,7.7832946777344,-87.316200256348,-73.997497558594,-86.780601501465,-97.821998596191,-83.848503112793,-78.949897766113
DistributionChannel,distributionChannel,,Distribution Channel,"{""ImportId"":""distributionChannel""}",anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous
UserLanguage,userLanguage,,User Language,"{""ImportId"":""userLanguage""}",EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
Q83,QID83,,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:","{""ImportId"":""QID83""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q84,gender,,To which gender identity do you most identify?,"{""ImportId"":""QID84""}",1,2,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2
Q85,age,"TEXT""}",What is your age?,"{""ImportId"":""QID85_TEXT""}",39,28,40,30,35,61,26,31,32,27,27,31,61,61,34,33,32,23,36,30,71,47,47,44,65,23,57,41,44,38,35,30
Q86,education,,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)","{""ImportId"":""QID86""}",6,3,5,3,5,5,5,3,5,3,2,2,6,3,3,5,5,5,5,5,8,2,3,4,6,5,5,3,3,5,3,3
Q77_1,BFI,1,I see myself as someone who is: - Is talkative,"{""ImportId"":""QID77_1""}",4,2,2,5,1,4,1,3,1,2,4,1,4,4,1,3,4,3,4,4,2,4,4,5,3,4,5,2,4,4,2,3
Q77_2,BFI,2,I see myself as someone who is: - Tends to find fault with others,"{""ImportId"":""QID77_2""}",4,3,3,1,5,3,1,2,3,4,4,5,3,1,1,4,2,4,4,3,1,2,3,1,2,4,2,1,4,4,4,3
Q77_3,BFI,3,I see myself as someone who is: - Does a thorough job,"{""ImportId"":""QID77_3""}",4,4,5,4,4,3,5,2,5,5,5,2,3,5,5,2,4,2,4,4,4,5,4,5,5,5,5,4,4,5,4,4
Q77_4,BFI,4,"I see myself as someone who is: - Is depressed, blue","{""ImportId"":""QID77_4""}",5,4,4,4,4,3,1,2,1,1,1,5,3,1,1,2,2,3,2,4,4,1,2,1,1,4,3,1,3,3,3,2
Q77_5,BFI,5,"I see myself as someone who is: - Is original, comes up with new ideas","{""ImportId"":""QID77_5""}",2,2,3,4,4,4,4,2,4,3,3,3,3,4,3,4,4,2,2,3,4,4,2,5,5,5,4,4,4,5,2,3
Q77_6,BFI,6,I see myself as someone who is: - Is reserved,"{""ImportId"":""QID77_6""}",5,5,4,1,5,3,4,2,5,4,2,5,3,4,5,2,1,3,5,4,3,4,4,1,3,2,2,4,4,4,5,4
Q77_7,BFI,7,I see myself as someone who is: - Is helpful and unselfish with others,"{""ImportId"":""QID77_7""}",2,4,4,5,4,3,5,2,3,4,3,1,3,4,5,2,4,4,2,5,4,4,4,5,4,2,5,4,4,5,4,4
Q77_8,BFI,8,I see myself as someone who is: - Can be somewhat careless,"{""ImportId"":""QID77_8""}",5,4,1,4,4,3,2,2,1,1,3,2,3,1,1,2,4,4,4,4,1,1,2,1,2,2,2,2,4,1,2,3
Q77_9,BFI,9,"I see myself as someone who is: - Is relaxed, handles stress well","{""ImportId"":""QID77_9""}",4,3,4,2,2,3,5,2,5,4,5,1,3,5,5,4,3,2,5,4,3,2,3,4,5,1,4,5,4,3,2,4
Q77_10,BFI,10,I see myself as someone who is: - Is curious about many different things,"{""ImportId"":""QID77_10""}",5,4,5,5,4,3,2,2,4,5,5,4,3,4,4,1,4,3,5,3,5,5,4,5,5,5,4,4,4,5,4,4
Q77_11,BFI,11,I see myself as someone who is: - Is full of energy,"{""ImportId"":""QID77_11""}",4,3,3,5,2,3,5,2,5,2,2,1,4,4,2,2,4,4,4,4,2,4,2,5,5,4,2,3,3,5,2,3
Q77_12,BFI,12,I see myself as someone who is: - Starts quarrels with others,"{""ImportId"":""QID77_12""}",5,1,2,1,2,3,1,2,3,1,2,1,3,1,1,3,2,3,1,4,1,1,2,1,1,1,1,1,2,2,2,2
Q77_13,BFI,13,I see myself as someone who is: - Is a reliable worker,"{""ImportId"":""QID77_13""}",4,5,5,4,4,3,5,2,5,5,4,2,3,5,5,4,4,2,3,5,5,5,4,5,5,5,5,5,4,5,4,4
Q77_14,BFI,14,I see myself as someone who is: - Can be tense,"{""ImportId"":""QID77_14""}",2,4,2,2,5,3,3,2,1,2,2,4,3,1,2,5,3,4,1,5,3,1,4,3,2,5,4,1,4,4,5,4
Q77_15,BFI,15,"I see myself as someone who is: - Is ingenious, a deep thinker","{""ImportId"":""QID77_15""}",4,3,4,5,3,3,4,2,3,3,4,5,2,5,4,4,4,2,5,4,4,3,3,5,4,5,2,3,4,5,4,3
Q77_16,BFI,16,I see myself as someone who is: - Generates a lot of enthusiasm,"{""ImportId"":""QID77_16""}",5,2,3,5,2,3,4,2,5,2,4,1,3,4,2,5,4,3,2,4,2,4,2,4,4,3,4,3,4,5,2,3
Q77_17,BFI,17,I see myself as someone who is: - Has a forgiving nature,"{""ImportId"":""QID77_17""}",4,4,4,5,2,3,5,2,2,2,3,2,3,5,5,2,5,3,5,4,4,2,2,4,4,2,5,4,4,3,4,3
Q77_18,BFI,18,I see myself as someone who is: - Tends to be disorganized,"{""ImportId"":""QID77_18""}",5,3,1,5,4,3,1,2,1,1,4,2,3,1,1,1,2,4,4,4,1,2,1,2,2,1,1,2,4,1,4,2
Q77_19,BFI,19,I see myself as someone who is: - Worries a lot,"{""ImportId"":""QID77_19""}",4,5,4,2,5,3,1,2,1,2,1,5,3,1,1,1,3,5,4,3,3,2,4,4,1,5,2,1,3,3,5,3
Q77_20,BFI,20,I see myself as someone who is: - Has ana active imagination,"{""ImportId"":""QID77_20""}",2,3,3,5,4,4,5,2,3,4,2,5,3,4,1,3,4,2,4,3,2,4,4,5,5,5,3,4,4,5,4,3
Q77_21,BFI,21,I see myself as someone who is: - Tends to be quiet,"{""ImportId"":""QID77_21""}",4,4,4,1,5,3,4,3,5,4,2,5,3,4,5,4,1,4,5,3,4,3,4,1,4,2,1,4,4,4,5,4
Q77_22,BFI,22,I see myself as someone who is: - Is generally trusting,"{""ImportId"":""QID77_22""}",5,4,3,5,4,3,4,2,1,2,3,1,4,4,5,5,2,2,1,4,1,5,4,3,4,3,4,4,2,4,4,4
Q77_23,BFI,23,I see myself as someone who is: - Tends to be lazy,"{""ImportId"":""QID77_23""}",3,2,1,1,5,2,1,2,1,1,2,5,2,1,1,4,2,3,3,4,1,1,2,1,1,1,2,2,4,1,2,3
Q77_24,BFI,24,"I see myself as someone who is: - Is emotionally stable, not easily upset","{""ImportId"":""QID77_24""}",5,2,4,3,2,3,4,2,5,4,5,4,3,5,5,2,4,2,5,3,4,4,4,5,5,1,4,5,4,4,2,3
Q77_25,BFI,25,I see myself as someone who is: - Is inventive,"{""ImportId"":""QID77_25""}",4,3,3,4,4,3,2,2,4,4,3,3,3,4,2,3,4,3,3,2,4,4,3,5,5,4,2,3,4,4,1,4
Q77_26,BFI,26,I see myself as someone who is: - Has an assertive personality,"{""ImportId"":""QID77_26""}",5,2,2,2,1,3,4,2,5,2,3,1,3,4,1,5,4,4,4,3,2,2,4,5,4,4,4,2,4,4,4,3
Q77_27,BFI,27,I see myself as someone who is: - Can be cold and aloof,"{""ImportId"":""QID77_27""}",3,3,2,1,2,3,1,2,2,3,4,5,3,3,1,5,2,2,5,3,1,1,4,1,1,4,1,1,4,4,2,4
Q77_28,BFI,28,I see myself as someone who is: - Preseveres until the task is finished,"{""ImportId"":""QID77_28""}",2,4,5,3,4,3,5,2,5,5,3,1,3,5,5,4,4,4,2,4,5,4,4,5,5,5,5,4,3,5,4,4
Q77_29,BFI,29,I see myself as someone who is: - Can be moody,"{""ImportId"":""QID77_29""}",4,4,2,2,4,3,1,2,1,1,4,3,3,1,1,2,2,2,3,4,4,2,4,1,1,5,2,2,4,4,4,4
Q77_30,BFI,30,"I see myself as someone who is: - Values artistic, aesthetic experiences","{""ImportId"":""QID77_30""}",5,3,3,5,4,3,1,2,1,4,3,3,3,5,1,1,4,3,4,4,3,4,4,5,5,5,2,2,4,5,2,3
Q77_31,BFI,31,"I see myself as someone who is: - Is sometimes shy, inhibited","{""ImportId"":""QID77_31""}",4,5,4,1,5,4,4,2,3,4,4,5,3,3,5,5,2,4,4,4,2,2,4,1,2,4,1,4,4,4,5,3
Q77_32,BFI,32,I see myself as someone who is: - Is considerate and kind to almost everyone,"{""ImportId"":""QID77_32""}",2,4,4,5,4,3,4,2,3,4,4,1,3,5,5,2,4,2,5,2,4,5,2,5,4,3,5,4,4,5,5,4
Q77_33,BFI,33,I see myself as someone who is: - Does things efficiently,"{""ImportId"":""QID77_33""}",4,4,5,4,3,3,5,2,5,4,4,4,2,5,4,5,4,3,2,3,4,4,4,5,3,5,5,4,4,4,4,4
Q77_34,BFI,34,I see myself as someone who is: - Remains calm in tense situations,"{""ImportId"":""QID77_34""}",1,4,4,3,2,2,5,2,5,4,4,4,3,4,4,4,4,3,5,2,3,4,2,5,5,1,4,5,4,4,2,4
Q77_35,BFI,35,I see myself as someone who is: - Prefers work that is routine,"{""ImportId"":""QID77_35""}",4,4,4,1,5,3,2,2,1,2,3,5,3,2,3,3,2,3,3,4,1,3,4,3,1,1,2,4,3,1,1,4
Q77_36,BFI,36,"I see myself as someone who is: - Is outgoing, sociable","{""ImportId"":""QID77_36""}",5,2,2,5,1,3,5,3,2,2,3,1,3,4,1,1,4,2,3,4,2,4,4,5,5,5,5,3,2,4,1,3
Q77_37,BFI,37,I see myself as someone who is: - Is sometimes rude to others,"{""ImportId"":""QID77_37""}",4,3,2,1,4,3,2,2,3,2,4,4,3,1,1,1,2,4,1,3,1,1,4,1,1,2,2,1,4,2,2,3
Q77_38,BFI,38,I see myself as someone who is: - Makes plans and follows through with them,"{""ImportId"":""QID77_38""}",5,4,4,3,4,3,5,2,5,5,5,5,3,5,4,1,4,2,2,3,5,5,4,5,5,5,4,4,3,4,4,3
Q77_39,BFI,39,I see myself as someone who is: - Gets nervous easily,"{""ImportId"":""QID77_39""}",4,3,2,2,5,2,1,2,1,2,2,5,2,1,4,2,2,3,1,4,2,4,2,1,2,5,1,1,3,4,4,3
Q77_40,BFI,40,"I see myself as someone who is: - Likes to reflect, play with ideas","{""ImportId"":""QID77_40""}",5,3,3,5,2,3,4,2,1,4,5,4,3,5,3,1,4,4,3,5,5,4,4,5,4,5,4,1,3,5,4,3
Q77_41,BFI,41,I see myself as someone who is: - Has few artistic interests,"{""ImportId"":""QID77_41""}",3,3,2,1,2,3,4,2,5,2,5,2,3,1,3,2,4,3,2,4,3,2,2,1,1,2,4,4,2,1,4,3
Q77_42,BFI,42,I see myself as someone who is: - Likes to cooperate with others,"{""ImportId"":""QID77_42""}",5,3,3,4,4,4,2,2,4,4,4,3,4,5,5,1,4,2,4,3,4,4,4,5,4,3,4,4,4,4,4,4
Q77_43,BFI,43,I see myself as someone who is: - Is easily disracted,"{""ImportId"":""QID77_43""}",4,2,1,4,5,3,1,2,1,2,3,4,3,1,1,2,2,5,3,4,1,2,1,1,1,4,2,2,2,4,2,3
Q77_44,BFI,44,"I see myself as someone who is: - Is sophisticated in art, music, or literature","{""ImportId"":""QID77_44""}",2,3,3,4,4,3,1,2,1,4,2,2,3,5,1,4,4,3,2,3,2,2,2,3,5,4,2,2,2,5,2,3
Q78_Page Submit,BFI,response_time,Timing - Page Submit,"{""ImportId"":""QID78_PAGE_SUBMIT""}",16.098,79.948,60.991,117.868,122.361,46.584,204.908,8.437,75.63,86.18,163.817,84.3,50.406,117.45,145.978,166.763,70.984,34.475,214.73,31.096,99.508,91.869,170.485,81.963,129.805,173.091,208.147,72.008,110.327,466.752,77.149,318.964
Q88_1,NARS,1,Click to write the question text - I would feel uneasy if robots really had emotions.,"{""ImportId"":""QID88_1""}",4,2,2,2,5,3,4,2,5,4,3,2,3,4,4,4,2,2,5,4,4,1,2,5,3,3,3,4,5,2,3,4
Q88_2,NARS,2,Click to write the question text - Something bad might happen if robots developed into living beings.,"{""ImportId"":""QID88_2""}",3,3,3,3,4,3,4,2,5,4,5,3,3,5,4,1,3,4,5,3,4,2,3,5,4,4,4,4,5,3,4,5
Q88_3,NARS,3,Click to write the question text - I would feel relaxed talking with robots.,"{""ImportId"":""QID88_3""}",4,4,3,3,4,3,2,2,1,2,2,4,3,2,3,1,4,3,2,4,4,5,4,1,3,2,4,1,1,4,2,2
Q88_4,NARS,4,Click to write the question text - I would feel uneasy if I was given a job where I had to use robots.,"{""ImportId"":""QID88_4""}",5,4,1,1,2,4,4,2,1,4,2,1,4,3,3,2,2,2,3,5,2,1,2,3,3,2,2,4,2,2,2,2
Q88_5,NARS,5,"Click to write the question text - If robots had emotions, I would be able to make friends with them.","{""ImportId"":""QID88_5""}",2,4,3,4,3,3,2,3,3,2,3,2,3,3,2,4,4,3,1,3,3,4,4,4,3,3,1,1,3,5,1,3
Q88_6,NARS,6,Click to write the question text - I (would?) feel comforted being with robots that have emotions.,"{""ImportId"":""QID88_6""}",5,4,3,4,1,3,2,2,1,2,3,2,3,2,1,3,4,3,1,4,2,4,4,5,3,2,2,1,1,4,2,2
Q88_7,NARS,7,"Click to write the question text - The word ""robot"" means nothing to me.","{""ImportId"":""QID88_7""}",4,3,2,1,1,2,3,2,3,1,2,2,4,4,3,2,1,2,1,3,1,2,4,3,1,3,2,1,3,3,2,3
Q88_8,NARS,8,Click to write the question text - I would feel nervous operating a robot in front of other people.,"{""ImportId"":""QID88_8""}",2,4,2,1,2,3,4,2,1,2,2,2,3,5,2,2,2,1,3,3,2,1,2,3,2,4,2,4,2,2,4,3
Q88_9,NARS,9,Click to write the question text - I would hate the idea that robots or artificial intelligence were making judgments about things.,"{""ImportId"":""QID88_9""}",2,2,3,4,4,3,5,2,3,5,1,2,3,4,4,4,2,2,3,3,2,1,2,4,4,4,5,4,5,3,4,4
Q88_10,NARS,10,Click to write the question text - I would feel very nervous just standing in front of a robot.,"{""ImportId"":""QID88_10""}",5,3,1,1,2,3,4,2,1,2,2,1,3,4,3,5,2,4,3,4,1,1,2,4,1,3,2,4,4,2,2,3
Q88_11,NARS,11,"Click to write the question text - I feel that if I depend on robots too much, something bad might happen.","{""ImportId"":""QID88_11""}",4,5,4,3,2,4,4,2,5,4,3,1,4,4,4,4,2,3,3,4,3,1,2,4,3,5,2,4,5,3,5,4
Q88_12,NARS,12,Click to write the question text - I would feel paranoid talking with a robot.,"{""ImportId"":""QID88_12""}",2,2,2,1,2,3,4,2,5,3,2,2,3,4,3,5,2,1,4,4,2,1,2,3,2,3,2,4,5,2,2,3
Q88_13,NARS,13,Click to write the question text - I am concerned that robots would be a bad influence on children.,"{""ImportId"":""QID88_13""}",4,3,2,1,2,3,4,2,5,1,2,1,3,5,3,2,2,2,3,3,2,1,3,3,4,2,3,4,3,2,2,3
Q88_14,NARS,14,Click to write the question text - I feel that in the future society will be dominated by robots.,"{""ImportId"":""QID88_14""}",2,3,4,4,3,3,4,2,5,4,5,2,3,4,4,3,3,4,3,4,2,4,2,2,4,3,3,4,5,4,1,4
Q89_Page Submit,NARS,response_time,Timing - Page Submit,"{""ImportId"":""QID89_PAGE_SUBMIT""}",8.003,42.094,42.269,54.324,41.284,63.93,88.668,3.386,156.738,44.953,83.737,46.238,11.404,87.086,382.774,8.662,42.111,249.371,83.278,27.398,57.018,49.961,88.3,53.231,85.519,52.232,126.004,34.149,82.839,110.214,43.085,89.636
Q94,QID94,,Which robot do you agree with?,"{""ImportId"":""QID94""}",1,1,2,2,1,1,2,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,1,2,2
Q95_Page Submit,QID94,response_time,Timing - Page Submit,"{""ImportId"":""QID95_PAGE_SUBMIT""}",1.97,2.203,2.774,2.472,7.222,1.386,4.084,1.008,7.454,3.23,7.495,6.394,1.677,6.769,2.602,1.736,3.049,2.837,6.166,5.717,5.907,2.333,8.222,4.387,5.753,108.608,10.685,3.819,3.396,19.641,3.432,9.867
Q96,QID96,,Which robot do you agree with?,"{""ImportId"":""QID96""}",1,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2
Q97_Page Submit,QID96,response_time,Timing - Page Submit,"{""ImportId"":""QID97_PAGE_SUBMIT""}",2.062,1.264,1.452,2.151,2.493,4.318,1.868,0.398,9.757,1.319,1.687,2.632,2.1,3.864,1.37,9.227,1.736,1.838,2.021,4.209,3.462,1.707,4.393,2.019,3.383,1.93,1.116,4.415,1.8,7.613,8.186,2.93
Q92,trap_question,,What does Liz enjoy doing?,"{""ImportId"":""QID92""}",4,4,4,4,4,4,5,3,1,4,4,1,4,4,1,4,6,4,4,1,4,4,4,4,4,4,4,4,4,1,3,3
Q93_Page Submit,QID92,response_time,Timing - Page Submit,"{""ImportId"":""QID93_PAGE_SUBMIT""}",6.126,4.716,6.151,9.95,22.549,8.866,29.47,0.982,16.634,16.321,7.5,32.893,3.469,18.388,16.203,11.917,19.521,13.15,6.863,5.202,20.039,11.091,11.757,51.929,18.018,11.076,19.096,12.548,7.138,37.371,31.435,28.48
Q108,QID108,,Which robot do you agree with?,"{""ImportId"":""QID108""}",2,1,2,1,2,1,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,1,1,2,1,1,2
Q109_Page Submit,QID108,response_time,Timing - Page Submit,"{""ImportId"":""QID109_PAGE_SUBMIT""}",1.986,1.34,1.405,2.652,2.693,1.376,2.086,1.768,5.278,1.391,7.899,2.073,1.485,2.209,1.506,1.493,1.831,1.857,2.517,2.335,3.909,1.587,2.528,1.701,7.424,1.893,2.409,1.665,2.672,2.606,4.156,2.583
Q100,QID100,,Which robot do you agree with?,"{""ImportId"":""QID100""}",1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,1
Q101_Page Submit,QID100,response_time,Timing - Page Submit,"{""ImportId"":""QID101_PAGE_SUBMIT""}",2.199,1.054,1.5,1.699,2.479,1.341,2.065,0.92,9.302,2.882,1.856,2.15,1.311,2.925,1.255,2.836,1.467,1.411,2.167,4.291,4.405,1.801,2.424,1.764,2.311,1.737,1.71,1.287,2.816,2.111,1.709,1.888
Q102,QID102,,Which robot do you agree with?,"{""ImportId"":""QID102""}",2,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,1
Q103_Page Submit,QID102,response_time,Timing - Page Submit,"{""ImportId"":""QID103_PAGE_SUBMIT""}",1.475,2.146,1.437,1.762,2.198,1.332,2.624,0.919,9.829,1.498,1.395,1.419,1.309,2.369,1.401,1.678,1.479,1.751,2.009,1.761,4.109,2.391,6.123,2.017,2.521,1.481,0.914,1.967,3.215,2.683,2.052,2.659
Q104,QID104,,Which robot do you DON'T agree with?,"{""ImportId"":""QID104""}",2,2,1,2,2,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1
Q105_Page Submit,QID104,response_time,Timing - Page Submit,"{""ImportId"":""QID105_PAGE_SUBMIT""}",4.86,2.958,6.28,7.904,3.549,1.298,7.516,0.983,19.136,3.512,7.11,5.895,1.562,4.796,1.773,2.334,4.075,2.564,3.299,7.79,7.49,4.381,4.721,2.762,9.508,3.821,11.017,3.558,4.075,13.968,2.954,3.555
Q106,QID106,,Which robot do you agree with?,"{""ImportId"":""QID106""}",1,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,2,1,1,1,2,2,1,2,2
Q107_Page Submit,QID106,response_time,Timing - Page Submit,"{""ImportId"":""QID107_PAGE_SUBMIT""}",1.887,1.55,1.749,2.218,2.979,1.347,4.752,0.275,2.602,2.679,1.759,2.175,1.41,6.757,1.349,2.027,2.127,2.06,2.645,6.986,4.174,3.311,12.583,1.626,13.044,4.816,1.617,2.355,3.776,3.302,3.089,2.056
